attempts,cluster,der,der_window,emission_ratio,expected_attempts,num_nodes,packet_interval_s,pdr,reward_mean,reward_variance,reward_window_mean,reward_window_variance,sf,snir_avg,snir_state,snir_window_mean,success_rate,success_rate_window,use_snir,window_end_s,window_index,window_start_s,with_snir
7015,1,0.9444444444444444,0.0011404133998574484,584.5833333333334,12,120,600.0,0.9444444444444444,0.0,0.0,0.0,0.0,9.083333333333334,10.660636233577076,snir_off,14.15558182381129,0.9444444444444444,0.6666666666666666,False,600.0,0,0.0,False
6274,1,0.9444444444444444,0.0011157156518967167,522.8333333333334,12,120,600.0,0.9444444444444444,0.0,0.0,0.0,0.0,9.083333333333334,10.660636233577076,snir_off,13.018719784113957,0.9444444444444444,0.5833333333333334,False,1200.0,1,600.0,False
4613,1,0.9444444444444444,0.002384565358768697,384.4166666666667,12,120,600.0,0.9444444444444444,0.0,0.0,0.0,0.0,9.083333333333334,10.660636233577076,snir_off,8.230719655003726,0.9444444444444444,0.9166666666666666,False,1800.0,2,1200.0,False
20923,2,0.9629629629629629,0.0017683888543707882,581.1944444444445,36,120,600.0,0.9629629629629629,0.0,0.0,0.0,0.0,9.13888888888889,10.451683214505952,snir_off,8.947588119417807,0.9629629629629629,1.0277777777777777,False,600.0,0,0.0,False
16421,2,0.9629629629629629,0.0017660313013823762,456.1388888888889,36,120,600.0,0.9629629629629629,0.0,0.0,0.0,0.0,9.13888888888889,10.451683214505952,snir_off,10.187916692019616,0.9629629629629629,0.8055555555555556,False,1200.0,1,600.0,False
10702,2,0.9629629629629629,0.0011212857409829938,297.27777777777777,36,120,600.0,0.9629629629629629,0.0,0.0,0.0,0.0,9.13888888888889,10.451683214505952,snir_off,11.89563941409826,0.9629629629629629,0.3333333333333333,False,1800.0,2,1200.0,False
41919,3,0.9398148148148148,0.0015983205706242992,582.2083333333334,72,120,600.0,0.9398148148148148,0.0,0.0,0.0,0.0,9.625,10.788947893413217,snir_off,10.725575513238153,0.9398148148148148,0.9305555555555556,False,600.0,0,0.0,False
35363,3,0.9398148148148148,0.0015270197664225321,491.15277777777777,72,120,600.0,0.9398148148148148,0.0,0.0,0.0,0.0,9.625,10.788947893413217,snir_off,10.437929547719634,0.9398148148148148,0.75,False,1200.0,1,600.0,False
23308,3,0.9398148148148148,0.001716148961729878,323.72222222222223,72,120,600.0,0.9398148148148148,0.0,0.0,0.0,0.0,9.625,10.788947893413217,snir_off,9.315763881280635,0.9398148148148148,0.5555555555555556,False,1800.0,2,1200.0,False
7047,1,0.9722222222222222,0.0015609479211011778,587.25,12,120,600.0,0.9722222222222222,0.0,0.0,0.0,0.0,8.666666666666666,10.606765076395236,snir_on,12.939860285831484,0.9722222222222222,0.9166666666666666,True,600.0,0,0.0,True
5399,1,0.9722222222222222,0.002037414335988146,449.9166666666667,12,120,600.0,0.9722222222222222,0.0,0.0,0.0,0.0,8.666666666666666,10.606765076395236,snir_on,9.702981877745879,0.9722222222222222,0.9166666666666666,True,1200.0,1,600.0,True
3087,1,0.9722222222222222,0.0009718172983479105,257.25,12,120,600.0,0.9722222222222222,0.0,0.0,0.0,0.0,8.666666666666666,10.606765076395236,snir_on,17.850216878786725,0.9722222222222222,0.25,True,1800.0,2,1200.0,True
21277,2,0.9537037037037037,0.0015039714245429338,591.0277777777778,36,120,600.0,0.9537037037037037,0.0,0.0,0.0,0.0,9.5,12.42095681644327,snir_on,10.190055698208788,0.9537037037037037,0.8888888888888888,True,600.0,0,0.0,True
18637,2,0.9537037037037037,0.0014487310189408166,517.6944444444445,36,120,600.0,0.9537037037037037,0.0,0.0,0.0,0.0,9.5,12.42095681644327,snir_on,13.040152228431142,0.9537037037037037,0.75,True,1200.0,1,600.0,True
11043,2,0.9537037037037037,0.0024449877750611247,306.75,36,120,600.0,0.9537037037037037,0.0,0.0,0.0,0.0,9.5,12.42095681644327,snir_on,13.623484363705181,0.9537037037037037,0.75,True,1800.0,2,1200.0,True
42828,3,0.9814814814814815,0.0014710002801905295,594.8333333333334,72,120,600.0,0.9814814814814815,0.0,0.0,0.0,0.0,9.569444444444445,12.244099879808678,snir_on,11.252388173687462,0.9814814814814815,0.875,True,600.0,0,0.0,True
35732,3,0.9814814814814815,0.0016511810142169484,496.27777777777777,72,120,600.0,0.9814814814814815,0.0,0.0,0.0,0.0,9.569444444444445,12.244099879808678,snir_on,12.921350322835153,0.9814814814814815,0.8194444444444444,True,1200.0,1,600.0,True
26446,3,0.9814814814814815,0.0015125160704832488,367.30555555555554,72,120,600.0,0.9814814814814815,0.0,0.0,0.0,0.0,9.569444444444445,12.244099879808678,snir_on,12.137881530096143,0.9814814814814815,0.5555555555555556,True,1800.0,2,1200.0,True
