episode,reward
1,0.29527195184761906
2,0.4738433804190476
3,0.3943181108825397
4,0.4143195708952381
5,0.47368319024761907
6,0.4533613498920635
7,0.47275745036190475
8,0.4336802702222222
9,0.4536817302349206
10,0.4720273017904762
11,0.33431373084444443
12,0.459084767762963
13,0.4584794082201058
14,0.4377123984931217
15,0.46191107555555555
16,0.2841675912126984
17,0.3732307208126984
18,0.4562721469629629
19,0.3144331176634921
20,0.37429696609523805
21,0.45863959839153434
22,0.34097657559365074
23,0.43796197655026453
24,0.4104564211809523
25,0.39770947846772486
26,0.35221413302857146
27,0.33071587555555554
28,0.4558269775915344
29,0.3718952126984127
30,0.3649118186328042
31,0.4309109087492063
32,0.390169981968254
33,0.3597673165206349
34,0.400695976431746
35,0.43599939474285715
36,0.31738444759365075
37,0.2512959695915344
38,0.26849054726772487
39,0.3875175513396825
40,0.3914022462306878
41,0.19853123034074074
42,0.38511469876825394
43,0.3381993559365079
44,0.40293061167407407
45,0.3535622289608466
46,0.29771595574179893
47,0.3568014335322751
48,0.26760165736296293
49,0.37588053316402115
50,0.2728684004910053
51,0.3902124014391534
52,0.30182752243809524
53,0.3446825850582011
54,0.20054080064338622
55,0.30334093802328044
56,0.36889520843174606
57,0.15964626786878308
58,0.3891595838306878
59,0.35989996373333333
60,0.3519156475259259
61,0.3946199876063492
62,0.400104394226455
63,0.3788910256084656
64,0.3579582562201058
65,0.3714582511746032
66,0.361634603005291
67,0.37135625874285716
68,0.3388903942772487
69,0.32559326828359786
70,0.3609015852021164
71,0.3408586359195767
72,0.35288599686772487
73,0.314763029773545
74,0.3509268731936508
75,0.22313750572698413
76,0.3016456181164021
77,0.35516769923386243
78,0.3796385987047619
79,0.3315813096973545
80,0.3222768069079365
81,0.18978574438941798
82,0.4259725563936508
83,0.33713497105608464
84,0.20060457623703706
85,0.34630281305396826
86,0.36742560426666665
87,0.306554048474074
88,0.3166735555047619
89,0.39878283242328044
90,0.22026066096084654
91,0.3210056181164021
92,0.23791090455026453
93,0.16453215844232802
94,0.3654916645925926
95,0.1695918216126984
96,0.35163504829629627
97,0.4389778655492063
98,0.4002292736
99,0.305338752
100,0.2513579048634921
101,0.14137505293544975
102,0.24069781434920634
103,0.45667736624761907
104,0.41341317783703707
105,0.308901967373545
106,0.2987000004402116
107,0.43435719327830685
108,0.2585549572063492
109,0.26797037633015874
110,0.2975421689227513
111,0.07230242756402115
112,0.25659434287407407
113,0.3587525384126984
114,0.24193810576931218
115,0.3669381057693122
116,0.33801873147936506
117,0.3157092613869488
118,0.44242486613333326
119,0.24867117226666666
120,0.17213787983915343
121,0.37359309233439153
122,0.3901509965206349
123,0.3378950416253968
124,0.13154583527619046
125,0.20849655669841272
126,0.2833476858582011
127,0.409753646594709
128,0.399030212131217
129,0.3947571134984127
130,0.37679979343915343
131,0.3259078198179894
132,0.2512916799661376
133,0.28285197951322755
134,0.3050736382645503
135,0.3499234933841269
136,0.3896472630179894
137,0.27932779574179895
138,0.10336837034215167
139,0.332041158162963
140,0.3842737978243386
141,0.35663594490582007
142,0.30628893473862434
143,0.28376969224126986
144,0.2626868461037037
145,0.2888957777269841
146,0.3341079424677249
147,0.36329093147089947
148,0.355436883437037
149,0.2983686618074074
150,0.328353700842328
151,0.36513075362539676
152,0.44656679984761904
153,0.31176109484021164
154,0.3513611746201058
155,0.437298780647619
156,0.3830497414095238
157,0.354056667157672
158,0.35144363452275135
159,0.38977842793650797
160,0.3090331322920635
